track_name,track_symbol
AJAX DOWNS TIPS,AJX
ALBUQUERQUE TIPS,ALB
AQUEDUCT TIPS,AQU
ARLINGTON PARK TIPS,APX
ASSINIBOIA TIPS,ASD
BELMONT PARK TIPS,BEL
BELTERRA PARK TIPS,BTP
BEULAH PARK TIPS,BEU
CALDER TIPS,CRC
CANTERBURY PARK TIPS,CBY
CHARLES TOWN TIPS,CTX
CHURCHILL DOWNS TIPS,CDX
COLUMBUS TIPS,CLS
DEL MAR TIPS,DMR
DELAWARE PARK TIPS,DEL
DELTA DOWNS TIPS,DED
DUBAI TIPS,???
ELLIS PARK TIPS,ELP
EMERALD DOWNS TIPS,EMD
EVANGELINE TIPS,EVD
FAIR GROUNDS TIPS,FGX
FAIRMOUNT PARK TIPS,FPK
FERNDALE TIPS,FER
FINGER LAKES TIPS,FLX
FONNER PARK TIPS,FON
FORT ERIE TIPS,FEX
FRESNO TIPS,FNO
GOLDEN GATE TIPS,GGX
GULFSTREAM PARK TIPS,GPX
GULFSTREAM WEST TIPS,GSW_tentative
HASTINGS PARK TIPS,HST
HAWTHORNE TIPS,HAW
HAZEL PARK TIPS,HP
HIALEAH PARK TIPS,HLX_tentative
HOLLYWOOD PARK TIPS,HOL
INDIANA GRAND TIPS,IND
KEENELAND TIPS,KEE
KENTUCKY DOWNS TIPS,KDX
KENTUCKY DWN TIPS,KDX
LA DOWNS TIPS,LAD
LAUREL PARK TIPS,LRL
LONE STAR PARK TIPS,LSX
LOS ALAMITOS QH TIPS,LAQ
LOS ALAMITOS TB TIPS,LAX
LOUISIANA DOWNS TIPS,???
MAHONING VALLEY TIPS,MVR
MARQUIS DOWNS TIPS,MDX
MEADOWLANDS TIPS,M
MONMOUTH PARK TIPS,MTH
MOUNTAINEER TIPS,MNR
NO TIPS TODAY TIPS,???
NORTHLANDS PARK TIPS,NPX
OAKLAWN PARK TIPS,OPX
PARX RACING TIPS,PHA
PENN NATIONAL TIPS,PEN
PIMLICO TIPS,PIM
PLEASANTON TIPS,PLN
PORTLAND MEAD. TIPS,PMX
PRAIRIE MEADOWS TIPS,PRM
PRESQUE ISLE TIPS,PID
REMINGTON PARK TIPS,RPX
RETAMA PARK TIPS,RET
ROYAL ASCOT TIPS,RYA
RUIDOSO DOWNS TIPS,RUI
SACRAMENTO TIPS,SAC
SAM HOUSTON TIPS,HOU
SANTA ANITA TIPS,SAX
SANTA ROSA TIPS,SRX
SARATOGA TIPS,SAR
STOCKTON TIPS,STK
SUFFOLK DOWNS TIPS,SUF
SUNLAND PARK TIPS,SUN
SUNRAY PARK TIPS,SRP
TAMPA BAY TIPS,TAM
THISTLEDOWN TIPS,TDN
TIMONIUM TIPS,TIM
TURF PARADISE TIPS,TUP
TURFWAY PARK TIPS,TPX
WILL ROGERS TIPS,WRD
WOODBINE TIPS,WOX
ZIA PARK TIPS,ZIA
